level;number;name;permalink;tags/0;tags/1;tags/2;tags/3;tags/4;tags/5;tags/6;tags/7;tags/8;tags/9;tags/10;tags/11;content;understanding;conformance;html
3;1.2.7;  Success Criterion 1.2.7 Extended Audio Description (Prerecorded);https://www.w3.org/TR/2024/REC-WCAG22-20241212/#extended-audio-description-prerecorded;-;;content creation;developing site;;video;-;-;-;-;-;audio;"<p>Where pauses in foreground audio are insufficient to allow <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-audio-descriptions"">audio descriptions</a> to convey the sense of the video, <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-extended-audio-description"">extended audio description</a> is provided for all <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-prerecorded"">prerecorded</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-video"">video</a> content in <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-synchronized-media"">synchronized media</a>.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/extended-audio-description-prerecorded.html"">Understanding Extended Audio Description (Prerecorded)</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#extended-audio-description-prerecorded"">How to Meet Extended Audio Description (Prerecorded)</a>";AAA;"<p>Where pauses in foreground audio are insufficient to allow <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-audio-descriptions"">audio descriptions</a> to convey the sense of the video, <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-extended-audio-description"">extended audio description</a> is provided for all <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-prerecorded"">prerecorded</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-video"">video</a> content in <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-synchronized-media"">synchronized media</a>.</p>"
3;1.2.8;  Success Criterion 1.2.8 Media Alternative (Prerecorded);https://www.w3.org/TR/2024/REC-WCAG22-20241212/#media-alternative-prerecorded;-;;content creation;;;video;-;-;-;-;-;audio;"<p>An <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-alternative-for-time-based-media"">alternative for time-based media</a> is provided for all <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-prerecorded"">prerecorded</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-synchronized-media"">synchronized media</a> and for all prerecorded <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-video-only"">video-only</a> media.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/media-alternative-prerecorded.html"">Understanding Media Alternative (Prerecorded)</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#media-alternative-prerecorded"">How to Meet Media Alternative (Prerecorded)</a>";AAA;"<p>An <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-alternative-for-time-based-media"">alternative for time-based media</a> is provided for all <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-prerecorded"">prerecorded</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-synchronized-media"">synchronized media</a> and for all prerecorded <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-video-only"">video-only</a> media.</p>"
3;1.2.9;  Success Criterion 1.2.9 Audio-only (Live);https://www.w3.org/TR/2024/REC-WCAG22-20241212/#audio-only-live;-;screen design;content creation;developing site;developing components;-;-;-;-;-;-;audio;"<p>An <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-alternative-for-time-based-media"">alternative for time-based media</a> that presents equivalent information for <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-live"">live</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-audio-only"">audio-only</a> content is provided.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/audio-only-live.html"">Understanding Audio-only (Live)</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#audio-only-live"">How to Meet Audio-only (Live)</a>";AAA;"<p>An <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-alternative-for-time-based-media"">alternative for time-based media</a> that presents equivalent information for <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-live"">live</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-audio-only"">audio-only</a> content is provided.</p>"
2;1.3;  Guideline 1.3 Adaptable;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#adaptable;conceptual perspective;;;;;;;;;;;;<p>Create content that can be presented in different ways (for example simpler layout) without losing information or structure.</p>;"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/adaptable.html"">Understanding Adaptable</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#adaptable"">How to Meet Adaptable</a>";;<p>Create content that can be presented in different ways (for example simpler layout) without losing information or structure.</p>
3;1.3.1;  Success Criterion 1.3.1 Info and Relationships;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#info-and-relationships;-;;;developing site;developing components;video;text;dynamic;forms;animations;-;audio;"<p>Information, <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-structure"">structure</a>, and <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-relationships"">relationships</a> conveyed through <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-presentation"">presentation</a> can be <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-programmatically-determinable"">programmatically determined</a> or are available in text.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/info-and-relationships.html"">Understanding Info and Relationships</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#info-and-relationships"">How to Meet Info and Relationships</a>";A;"<p>Information, <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-structure"">structure</a>, and <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-relationships"">relationships</a> conveyed through <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-presentation"">presentation</a> can be <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-programmatically-determinable"">programmatically determined</a> or are available in text.</p>"
3;1.3.2;  Success Criterion 1.3.2 Meaningful Sequence;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#meaningful-sequence;-;;;developing site;developing components;-;text;dynamic;forms;-;-;-;"<p>When the sequence in which content is presented affects its meaning, a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-correct-reading-sequence"">correct reading sequence</a> can be <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-programmatically-determinable"">programmatically determined</a>.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/meaningful-sequence.html"">Understanding Meaningful Sequence</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#meaningful-sequence"">How to Meet Meaningful Sequence</a>";A;"<p>When the sequence in which content is presented affects its meaning, a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-correct-reading-sequence"">correct reading sequence</a> can be <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-programmatically-determinable"">programmatically determined</a>.</p>"
3;1.3.3;  Success Criterion 1.3.3 Sensory Characteristics;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#sensory-characteristics;-;screen design;content creation;;;video;text;dynamic;forms;animations;-;audio;"<p>Instructions provided for understanding and operating content do not rely solely on sensory characteristics of components such as shape, color, size, visual location, orientation, or sound.<br/>Note<br/>For requirements related to color, refer to <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#distinguishable"">Guideline 1.4</a>.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/sensory-characteristics.html"">Understanding Sensory Characteristics</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#sensory-characteristics"">How to Meet Sensory Characteristics</a>";A;"<p>Instructions provided for understanding and operating content do not rely solely on sensory characteristics of components such as shape, color, size, visual location, orientation, or sound.<br/>Note<br/>For requirements related to color, refer to <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#distinguishable"">Guideline 1.4</a>.</p>"
3;1.3.4;  Success Criterion 1.3.4 Orientation;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#orientation;-;screen design;;developing site;developing components;video;text;;forms;animations;-;audio;"<p>Content does not restrict its view and operation to a single display orientation, such as portrait or landscape, unless a specific display orientation is <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-essential"">essential</a>.<br/>Note<br/>Examples where a particular display orientation may be essential are a bank check, a piano application, slides for a projector or television, or virtual reality content where content is not necessarily restricted to landscape or portrait display orientation.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/orientation.html"">Understanding Orientation</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#orientation"">How to Meet Orientation</a>";AA;"<p>Content does not restrict its view and operation to a single display orientation, such as portrait or landscape, unless a specific display orientation is <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-essential"">essential</a>.<br/>Note<br/>Examples where a particular display orientation may be essential are a bank check, a piano application, slides for a projector or television, or virtual reality content where content is not necessarily restricted to landscape or portrait display orientation.</p>"
3;1.3.5;  Success Criterion 1.3.5 Identify Input Purpose;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#identify-input-purpose;-;;;developing site;developing components;-;-;-;forms;-;-;-;"<p>The purpose of each input field collecting information about the user can be <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-programmatically-determinable"">programmatically determined</a> when:<br/><em>   The input field serves a purpose identified in the <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#input-purposes"">Input Purposes for user interface components section</a>; and </em>   The content is implemented using technologies with support for identifying the expected meaning for form input data.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/identify-input-purpose.html"">Understanding Identify Input Purpose</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#identify-input-purpose"">How to Meet Identify Input Purpose</a>";AA;"<p>The purpose of each input field collecting information about the user can be <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-programmatically-determinable"">programmatically determined</a> when:<br/><em>   The input field serves a purpose identified in the <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#input-purposes"">Input Purposes for user interface components section</a>; and </em>   The content is implemented using technologies with support for identifying the expected meaning for form input data.</p>"
3;1.3.6;  Success Criterion 1.3.6 Identify Purpose;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#identify-purpose;-;;;developing site;developing components;video;text;-;forms;animations;-;-;"<p>In content implemented using markup languages, the purpose of <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-user-interface-components"">user interface components</a>, icons, and <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-regions"">regions</a> can be <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-programmatically-determinable"">programmatically determined</a>.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/identify-purpose.html"">Understanding Identify Purpose</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#identify-purpose"">How to Meet Identify Purpose</a>";AAA;"<p>In content implemented using markup languages, the purpose of <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-user-interface-components"">user interface components</a>, icons, and <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-regions"">regions</a> can be <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-programmatically-determinable"">programmatically determined</a>.</p>"
2;1.4;  Guideline 1.4 Distinguishable;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#distinguishable;conceptual perspective;;;;;;;;;;;;<p>Make it easier for users to see and hear content including separating foreground from background.</p>;"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/distinguishable.html"">Understanding Distinguishable</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#distinguishable"">How to Meet Distinguishable</a>";;<p>Make it easier for users to see and hear content including separating foreground from background.</p>
